algorithm_name,dataset_name,max_depth,max_features,min_samples_leaf,n_estimators,mean_fit_time
Random Forest,make_moons,1,sqrt,1,50,0.06807859738667806
Random Forest,make_moons,1,sqrt,1,51,0.06925654411315918
Random Forest,make_moons,1,sqrt,1,52,0.07041652997334798
Random Forest,make_moons,1,sqrt,1,53,0.07200535138448079
Random Forest,make_moons,1,sqrt,1,54,0.07265766461690266
Random Forest,make_moons,1,sqrt,1,55,0.07454864184061687
Random Forest,make_moons,1,sqrt,1,56,0.07606236139933269
Random Forest,make_moons,1,sqrt,1,57,0.07667136192321777
Random Forest,make_moons,1,sqrt,1,58,0.07860763867696126
Random Forest,make_moons,1,sqrt,1,59,0.0798330307006836
Random Forest,make_moons,1,sqrt,1,60,0.08140397071838379
Random Forest,make_moons,1,sqrt,1,61,0.08306376139322917
Random Forest,make_moons,1,sqrt,1,62,0.0836792786916097
Random Forest,make_moons,1,sqrt,1,63,0.08486024538675944
Random Forest,make_moons,1,sqrt,1,64,0.08668001492818196
Random Forest,make_moons,1,sqrt,1,65,0.08774598439534505
Random Forest,make_moons,1,sqrt,1,66,0.08945751190185547
Random Forest,make_moons,1,sqrt,1,67,0.09029658635457356
Random Forest,make_moons,1,sqrt,1,68,0.09211126963297527
Random Forest,make_moons,1,sqrt,1,69,0.09342757860819499
Random Forest,make_moons,1,sqrt,1,70,0.09453860918680827
Random Forest,make_moons,1,sqrt,1,71,0.09599765141805013
Random Forest,make_moons,1,sqrt,1,72,0.09724569320678711
